annee;etab_uai;etab_nom;tc;tf;nm;fl;app;int;amg;aut;region;departement;commune;fiche;dataviz;etab_url;etab_gps;nmc;gta;gti;etablissement_id_paysage;composante_id_paysage;rnd;code_formation
2024;0690195M;Institut Catholique de Lyon (Lyon 2e  Arrondissement - 69);Privés enseignement supérieur;Licence sélective,Licence;Licence - Lettres - Parcours Journalisme;L1 - Lettres;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour artistes confirmés,Formations avec aménagements pour autres publics spécifiques;;Auvergne-Rhône-Alpes;Rhône;Lyon;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=35837;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=35837;https://www.ucly.fr;45.7514, 4.82694;L1-Lettres;35837;35837;3Um0y;;15261;2028
2024;0690195M;Institut Catholique de Lyon (Lyon 2e  Arrondissement - 69);Privés enseignement supérieur;Licence;Licence - Histoire - Parcours Science politique - Géopolitique;L1 - Histoire;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour artistes confirmés,Formations avec aménagements pour autres publics spécifiques;;Auvergne-Rhône-Alpes;Rhône;Lyon;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=35838;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=35838;https://www.ucly.fr;45.7514, 4.82694;L1-Histoire;35838;35838;3Um0y;;22486;2010
2024;0690195M;Institut Catholique de Lyon (Lyon 2e  Arrondissement - 69);Privés enseignement supérieur;Diplômes d'université ou d'établissement;Diplôme d'Université - PAREO - DU PaRéo Se construire, s'orienter, se révéler;DU - Diplôme d'Université - PAREO;;;Enseignement en présentiel;;Auvergne-Rhône-Alpes;Rhône;Lyon;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=35844;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=35844;https://www.ucly.fr;45.7514, 4.82694;DU-PAREO;35844;35844;3Um0y;;9215;750021
2024;0222032P;Université de Rennes (EPE) - Site de Saint-Brieuc (22);Publics;Etudes de santé,Licence;Licence - Parcours d'Accès Spécifique Santé (PASS) - option Sciences infirmières;L1 - Parcours d'Accès Spécifique Santé (PASS);;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour artistes confirmés,Formations avec aménagements pour autres publics spécifiques;Parcours d'Accès Spécifique Santé (PASS);Bretagne;Côtes-d'Armor;Saint-Brieuc;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=35849;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=35849;http://www.univ-rennes.fr;48.513, -2.74173;PASS;35849;35848;91D9w;;9039;2047
2024;0442953W;Nantes Université (44);Publics;Licence;Licence - Sciences de la vie et de la terre - Parcours Géosciences;L1 - Sciences de la vie et de la terre;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour autres publics spécifiques;;Pays de la Loire;Loire-Atlantique;Nantes;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=35850;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=35850;http://www.lyceens.univ-nantes.fr/;47.2357, -1.55549;L1-SVT;35850;35850;qUCQp;;3984;2039
2024;0811293R;Institut national universitaire Champollion (Albi - 81);Publics;Etudes de santé,Licence;Licence - Lettres -  Accès Santé (LAS);L1 - Lettres;;;Enseignement partiellement à distance,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour artistes confirmés,Formations avec aménagements pour autres publics spécifiques;Licence Accès Santé (LAS);Occitanie;Tarn;Albi;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=35856;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=35856;http://www.univ-jfc.fr;43.92, 2.139;L1-Lettres;35856;35855;Hm42K;;12242;2028
2024;0290346U;Université de Brest (29);Publics;Etudes de santé,Licence;Licence - Parcours d'Accès Spécifique Santé (PASS) - option Sciences de la Terre;L1 - Parcours d'Accès Spécifique Santé (PASS);;;Enseignement en présentiel;Parcours d'Accès Spécifique Santé (PASS);Bretagne;Finistère;Brest;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=35881;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=35881;https://www.univ-brest.fr/;48.4005, -4.50073;PASS;35881;27585;06SE7;;10115;2047
2024;0691774D;Université Claude Bernard Lyon 1 (Villeurbanne - 69);Publics;Etudes de santé,Licence;Licence - Parcours d'Accès Spécifique Santé (PASS) - option Fondamentaux pour l'ingénierie Electronique, Energie Electrique, Automatique proposée par l’Université Claude Bernard Lyon 1 (site de Lyon);L1 - Parcours d'Accès Spécifique Santé (PASS);;;Enseignement en présentiel;Parcours d'Accès Spécifique Santé (PASS);Auvergne-Rhône-Alpes;Rhône;Lyon;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=35883;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=35883;http://www.univ-lyon1.fr;45.7403, 4.88778;PASS;35883;28157;etBz7;;23384;2047
2024;0311384L;Université Toulouse 3 Paul Sabatier (31);Publics;C.M.I - Cursus Master en Ingénierie,Licence sélective;C.M.I - Cursus Master en Ingénierie - Double diplôme - Licence Electronique, énergie électrique, automatique - C.M.I - Cursus Master en Ingénierie-Mention EEA;C.M.I - Electronique, énergie électrique, automatique;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour artistes confirmés,Formations avec aménagements pour autres publics spécifiques;;Occitanie;Haute-Garonne;Toulouse;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=35886;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=35886;http://www.univ-tlse3.fr/;43.5608, 1.46936;CMI-EEEA;35886;35886;m7K6T;;19640;4040
2024;0680161F;Institution Don Bosco - Lycée professionnel (Wittenheim - 68);Privés sous contrat;Certificats de spécialisation et FCIL;FCIL - secrétariat médical;FCIL - FCIL;;;Enseignement en présentiel;;Grand Est;Haut-Rhin;Wittenheim;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=35901;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=35901;https://www.donboscowit.eu/;47.8127, 7.33989;FCIL;35901;35901;;;13766;64001
2024;0311384L;Université Toulouse 3 Paul Sabatier (31);Publics;Etudes de santé,Licence;Licence - Parcours d'Accès Spécifique Santé (PASS) - option Physique, chimie;L1 - Parcours d'Accès Spécifique Santé (PASS);;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour artistes confirmés,Formations avec aménagements pour autres publics spécifiques;Parcours d'Accès Spécifique Santé (PASS);Occitanie;Haute-Garonne;Toulouse;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=35911;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=35911;http://www.univ-tlse3.fr/;43.5608, 1.46936;PASS;35911;29840;m7K6T;;21120;2047
2024;0440355X;Lycée Agricole Charles PEGUY (Gorges - 44);Privés sous contrat;BTS - BTSA - BTSM;BTS - Agricole - Technico-commercial - Spécialité vins, bières et spiritueux;BTSA - Technico-commercial - Spécialité vins, bières et spiritueux;;;Enseignement en présentiel;Des épreuves de sélection sont mises en place pour candidater à cette formation;Pays de la Loire;Loire-Atlantique;Gorges;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=35920;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=35920;http://www.charles-peguy.net;47.1039, -1.3025;TC-VBS;35920;35920;;;14956;660003
2024;0490073N;ESA Angers (Angers-49) (49);Privés enseignement supérieur;BTS - BTSA - BTSM;BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie;BTSA - Technico-commercial - Spécialité univers jardins et animaux de compagnie;;;Enseignement en présentiel;Des épreuves de sélection sont mises en place pour candidater à cette formation;Pays de la Loire;Maine-et-Loire;Angers;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=35921;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=35921;https://www.groupe-esa.com/;47.4586, -0.54385;TC-UJAC;35921;35921;;;17393;660005
2024;0623911P;Université d'Artois - Site de Lens / lycée Voltaire Wingles (62);Publics;Licence;Licence - Sciences de la vie - Parcours Préparatoire au Professorat des Ecoles (PPPE);L1 - Sciences de la vie;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour autres publics spécifiques;;Hauts-de-France;Pas-de-Calais;Lens;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=35943;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=35943;http://www.univ-artois.fr;50.434, 2.82362;L1-SV;35943;35943;BWbvP;;570;2037
2024;0290346U;Université de Brest / lycée d'Iroise Brest (29);Publics;Licence;Licence - Sciences de l'éducation et de la formation - Parcours Préparatoire au Professorat des Ecoles (PPPE) - Bilingue Français-Breton;L1 - Sciences de l'éducation et de la formation;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour artistes confirmés,Formations avec aménagements pour autres publics spécifiques;;Bretagne;Finistère;Brest;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=35956;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=35956;https://www.univ-brest.fr/;48.4005, -4.50073;L1-SEF;35956;35956;06SE7;;17411;2092
2024;0782075G;Université de Versailles - Saint Quentin en Yvelines / lycée Jules Ferry Versailles (78);Publics;Licence;Licence - Sciences et technologies - Parcours Préparatoire au Professorat des Ecoles (PPPE);L1 - Sciences et technologies;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau;;Île-de-France;Yvelines;Versailles;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=35958;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=35958;http://www.uvsq.fr/les-licences-du-domaine-science-technologie-sante-350887.kjsp?RH=FORM_04;48.81323, 2.14945;L1-ST;35958;35958;;;6848;2046
2024;0031032F;Université Clermont Auvergne / Lycée Jean Monnet Yzeure (Moulins - 03);Publics;Licence;Licence - Sciences de l'éducation et de la formation - Parcours Préparatoire au Professorat des Ecoles (PPPE);L1 - Sciences de l'éducation et de la formation;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour artistes confirmés,Formations avec aménagements pour autres publics spécifiques;;Auvergne-Rhône-Alpes;Allier;Moulins;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=35966;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=35966;https://inspe.uca.fr/;46.5737, 3.33527;L1-SEF;35966;35966;K4lR3;ZR4an;2466;2092
2024;0313124C;Université Toulouse Capitole (31);Publics;Licence sélective,Licence;Licence - Double diplôme - Licence Gestion - BSc in Global Management;L1 - Gestion;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour autres publics spécifiques;;Occitanie;Haute-Garonne;Toulouse;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=35967;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=35967;https://www.ut-capitole.fr/accueil;43.6071, 1.43874;L1-Gestion;35967;35967;gap5Q;;424;2004
2024;0391244R;IUT DE BESANCON - ANTENNE DE DOLE (39);Publics;BUT;BUT - Packaging, emballage et conditionnement (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);BUT - Éco-conception et industrialisation,BUT - Packaging, emballage et conditionnement;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour artistes confirmés,Formations avec aménagements pour autres publics spécifiques;;Bourgogne-Franche-Comté;Jura;Dole;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=35988;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=35988;http://iut-bv.univ-fcomte.fr/;47.077, 5.463;BUT-PEC;35988;35988;7Mpgt;ysdqj;19443;810017
